Office,Item,Serial No.,Date of Purchase,Make,Model,Remarks
,Monitor,MMLXNSS004443013924207,2017,HP,Acer V196HQL,
,Barcode reader,R- 41007862,2016,Epson,TVS BS C101 STAR,
,Barcode reader,OADMLB000739,2016,Epson,TVS BS C101 STAR,
,Dot matrix printer,JNWY334640,2017,HP,Epson LX 300,
,CPU-Aadhar,UXB1JSIO91I0329019,2017,Acer,Acer Veriton M200 H110,
,Monitor - Aadhar,MMTAMSS002750032CC3E00,2017,Acer,Acer V196HQL,
,Inkjet printer - Aadhar,CN7CH5G1B8,,Epson,HP DESKJET GT 5811,
,Laser printer,NTNA612809,2021,Epson,Canon LBP6030B,
,Monitor,MMTAMSS0027500269C3E00,2018,Smartline,Acer V196HQL,
,CPU,UXVQNSI925L0494390,2018,Uniline,Acer VeritonM200- B360,
,Passbook printer,X7ZT004049,2022,Acer,Epson PLQ 35,
Puliyannoor SO,CPU,INA113XHJ3,NA,Acer,HP PRO 3090 MT,
,Passbook printer,QAL6MT016962,NA,HP,TVS SPEED 40 plus,
,Monitor,MMLY0SS0118500F5CB8525,NA,Acer,Acer V196HQL,
,Laser printer,VNF6W04911,NA,Acer,HP laserjet p1106,
,CPU,UD305SI00U408049DE0700,2024,Samsung,Acer Veriton M200 -P500,
,Monitor,UR14701017408F88599F00,2024,Acer,Acer EV226HQL,
,Dot matrix printer,Q7DYJ03509,2020,HP,Epson LX 310,
,Barcode reader,QAUMLB000055,Na,Epson,TVS BS C101 STAR,
,Barcode reader,WBNMLB000960,2024,Epson,TVS BS C101 STAR,
Teekoy SO,Monitor,MMLY7SS028224067CD859M,2022,HP,Acer V226HQL,
,CPU,UXVTUSI333M2088941,2022,Acer,Acer Veriton M200 P500,
,Laser printer,VNF5140791,NA,Acer,HP laserjet P1007,
,CPU-Aadhar,UXB1JSIO91I0328619,2017,Epson,Acer Veriton M200 H110,
,Monitor,MMLY0SS0118500F6288525,2017,Epson,Acer V196HQL,
,Dot matrix printer,Q7DY149373,2022,Smartline,Epson LX 310,
,Passbook printer,QAL6MT016306,NA,Uniline,TVS SPEED40 PLUS,
,Barcode reader,NBKMLB000584,NA,Acer,TVS BS C101!STAR,
,Barcode reader,NBGMLB001469,NA,Acer,TVS BS C101 STAR,
,Monitor - Aadhar,MMTAMSS002750032C63E00,2017,HP,Acer V196HQL,
,Inkjet printer - Aadhar,CN77L5G0TX06B8,2017,Acer,HP DESKJET 5811,
Thidanad SO,CPU,UD305SI00U408049B10700,2024,Acer,Acer Veriton M200-P500,
,Dot matrix printer,Q7EY078806,,Samsung,Epson LX310,
,Laser printer,VNFNX13320,,Acer,HPLASERJET P1007,
,Passbook printer,VNFNX13320,,HP,TVS Speed 40 plus,
,Monitor,UR14701017408F83B69F00,2024,Epson,Acer EV226HQL,
,Barcode reader,TARMLB000392,,Epson,TVS BS - C101 star,
Sub Division Pala,Monitor,MMLY0SS0118500F5CC8525,na,HP,V196HQL,
,CPU,IN130302W7,2023,Acer,HP 285 PRO G8 microtower PC,
,Laser printer,VNFNS12943,NA,Acer,HP LASERJET P1020,
Kaduthuruthy,Barcode Scanner,PADMLB002500,,TVS,BS-C101 Star,
,Barcode Scanner,UAEMLB001419,,TVS,BS-C101 Star,
,Battery,NIL,,SUPRA,B2045,
,CPU,UXB1JSII01I0434220,,Acer,Veriton-IC6542,
,CPU,UXB1JSIO91I0328783,,Acer,Veriton M200-H110,
,CPU,INA604XGZX,,HP,406 G1 MT Business PC,
,CPU,21H12L2023B 50684,,HLBS,CM44,
,DMP,Q7DY061967,,Epson,LX-310,
,Fingerprint Scanner,C8R1CT00581,,Greenbit,Dactyscan84C,
,Inkjet Printer,CN7CH5G130,,HP,Deskjet GT 5811,
,Iris Scanner,BA1712A023942,,CMITech,BMT-20,
,Laser Printer,CNCHC91635,,HP,Laserjet 1020 Plus,
,Laser Printer,VNF6F18980,,HP,Laserjet P 1007,
,Monitor,MMTAMSS002750038AD3E00,,Acer,V196HQL,
,Monitor,6CM5521PD1,,HP,V192,
,Monitor,MMLY0SS0047520B8AA8507,,Acer,V196HQL,
,Monitor,RAA05UR04711,,Zebster,ZEB-V19HD LED,
,Monitor,9I003234201671,,HLBS,H-22P1IPS,
,Passbook Printer,QAL6MT016276,,TVS,Speed 40 Plus,
,UPS,B13M18A00059,,BPE,UPS1000V,
,UPS,900032401110163-0624,,SUPRA,HFD200M60TB3,
Kallara,Barcode Scanner,NAFMLB001430,,TVS,BS-C101 Star,
,Barcode Scanner,PADMLB002513,,TVS,BS-C101 Star,
,Barcode Scanner,UBUMLB001292,,TVS,BS-C101 Star,
,Battery,,,,,
,CPU,UXB1JSII01I0431325,,Acer,Veriton-IC6542,
,CPU,UXB1JSIO91I0436513,,Acer,Veriton M200-H110,
,CPU,UXVTUSI333M2089048,,Acer,Veriton M200-P500,
,DMP,Q7DY157031,,Epson,LX-310,
,Fingerprint Scanner,C8R1CT01023,,Greenbit,Dactyscan84C,
,Iris Scanner,BA1801A025999,,CMITech,BMT-20,
,Laser Printer,VNM1C05601,,HP,Laserjet M208dw,
,Monitor,MMLY0SS0047520BBF28507,,Acer,V196HQL,
,Monitor,MMT6MSS001744026153E00,,Acer,EB192Q,
,Monitor,MMLY7SS028224067DD859M,,Acer,V226HQL,
,Monitor,MMTAMSS002750038CB3E00,,Acer,V196HQL,
,Passbook Printer,QAL6MT016309,,TVS,Speed 40 Plus,
,UPS,NA,,Keptron,,
,UPS,B13M18A00084,,BPE,UPS1000V,
Kulasekharamangalam,Barcode Scanner,RAOMLB003178,,TVS,BS-C101 Star,
,Barcode Scanner,TBWMLB001380,,TVS,BS-C101 Star,
,Battery,,,Exide,,
,CPU,UXB1JSIO91I0436511,,Acer,Veriton M200-H110,
,CPU,INA604XHCZ,,HP,406 G1 MT Business PC,
,CPU,UXB1JSII11I0905811,,Acer,Veriton-IC6550,
,DMP,Q7DY116817,,Epson,LX-310,
,Fingerprint Scanner,C8R1CT00876,,Greenbit,Dactyscan84c,
,Inkjet Printer,CN7CH5G10Z,,HP,Deskjet GT 5811,
,Iris scanner,BA1712A023953,,CMITECH,BMT-20,
,Monitor,MMTAMSS002750030EA3E00,,Acer,V196HQL,
,Monitor,MMTAMSS002750038AB3E00,,Acer,V196HQL,
,Monitor,MMT3FSS001750015183B00,,Acer,E1900HQ,
,Monitor,RBW01IS09604,,ZEBSTER,Z-E19HD LED,
,Passbook Printer,8109181,,Olivetti,PR2 Plus,
,UPS,NA,,Keptron,,
,UPS,B13M18A00082,,BPE,UPS1000V,
Kuravilangad,Barcode Scanner,RBHNBT004830,,TVS,BS-L100N,
,Barcode Scanner,MBPMLB002461,,TVS,BS-C101 Star,
,Barcode Scanner,NBKMLB000577,,TVS,BS-C101 Star,
,Barcode Scanner,OALMLB002491,,TVS,BS-C101 Star,
,Battery,,,Exide,,
,CPU,INA604XGYQ,,HP,HP 406 G1 MT Bussiness PC,
,CPU,INA604XH7P,,HP,HP 406 G1 MT Bussiness PC,
,CPU,INA604XGY7,,HP,HP 406 G1 MT Bussiness PC,
,CPU,UXB1JSIO91I0436506,,Acer,M200-H110,
,CPU,UXVQNSI244J0260707,,Acer,M200-B350,
,Dotmatrix Printer,Q7EY247275,,Epson,LX 310,
,Inkjet Printer,CN79A5G0X4,,HP,Deskjet GT 5811,
,Laser printer,CNCHB78557,,HP,LASERJET 1020 Plus,
,Laser Printer,E73793L3N466772,,Brother,HL-L2321D,
,Monitor,6CM5521QSJ,,HP,V192,
,Monitor,6CM5521R0H,,HP,V192,
,Monitor,6CM5521QS2,,HP,V192,
,Monitor,MMLY0SS01190808FA78525,,Acer,V196HQL,
,Monitor,MMLY0SS0047520BBE98507,,Acer,V196HQL,
,Monitor,MMLY0SS0047520B8C48507,,Acer,V196HQL,
,Passbook Printer,QAL6MT016959,,TVS,Speed 40 Plus,
,Passbook Printer,1202006,,Olivetti,PR2 Plus,
,UPS,B13M18A00048,,BPE,UPS1000V,
,UPS,20050601379,,Power One,U502A08H,
Manjoor,Barcode Scanner,NAFMLB001420,,TVS,TVS BS-C101 STAR,
,Barcode Scanner,OADMLB000733,,TVS,TVS BS-C101 STAR,
,Barcode Scanner,UAEMLB001426,,TVS,BS-C101 Star,
,Battery,,,HYKON,HyBT series,
,CPU,UXVQNSI244J0260692,,Acer,VERITON M200-B350,
,CPU,INA604XH85,,HP,HP 406 G1 MT Bussiness PC,
,CPU,UXB1JSIO91I0436539,,Acer,ACER VERITON M200-H110,
,CPU,21H12L2023B 50685,,HLBS,CM 44,
,Dotmatrix Printer,Q7DY062353,,Epson,LX 310,
,Fingerprint Scanner,C8R1CT00867,,Greenbit,Dactyscan84C,
,Inkjet Printer,CN79B5G295,,HP,Deskjet GT 5811,
,Iris Scanner,BA1801A026003,,CMITech,BMT-20,
,Laser printer,CNC2106908,,HP,Laserjet 1020 Plus,
,Monitor,MMLY0SS0118500F5CA8525,,Acer,V196HQL,
,Monitor,MMTAMSS002750030F63E00,,ACER,V196HQL,
,Monitor,MMT3FSS00162400DF03B00,,HP,E1900HQ,
,Monitor,MMLY0SS0047520BBF78507,,Acer,ACER V196HQL,
,Monitor,9I003234202132,,HLBS,H-22P1IPS,
,Passbook Printer,09031000007,,Olivetti,Speed 40 Plus,
,UPS,B13M18A00502,,BPE,UPS1000V,
,UPS,na,,na,,
Marangattupally,Barcode Scanner,RBQMLB004573,,TVS,BS-C101 Star,
,Barcode Scanner,UBUMLB001295,,TVS,BS-C101 Star,
,Barcode Scanner,UBUMLB001294,,TVS,BS-C101 Star,
,Battery,,,Exide,POWER SAFE,
,CPU,UXB1JSII11I0905683,,Acer,VERITON IC650,
,CPU,UXB1JSIO91I0436528,,Acer,VERITON M200-H110,
,CPU,21H12I2023B 50691,,HLBS,CM 44,
,Dotmatrix Printer,Q7DY062342,,Epson,EPSON LX 310,
,Fingerprint Scanner,C8RICT00980,,Greenbit,Dactyscan84C,
,Iris Scanner,BA1801A025918,,CMITech,BMT-20,
,Laser Printer,VNFNP10859,,HP,Laserjet P 1007,
,Laser Printer,NTPA510033,,Canon,Image class LBP6030w,
,Monitor,MMT3FSS0017500137C3B00,,Acer,E1900HQ,
,Monitor,MMLY0SS0047520BBAA8507,,Acer,V196HQL,
,Monitor,MMLY0SS0047520BB6F8507,,Acer,V196HQL,
,Monitor,9I003234202012,,HLBS,H-22P1IPS,
,Passbook Printer,1201860,,Olivetti,PR2 Plus,
,Passbook Printer,X7ZT036331,,Epson,PLQ-35,
,UPS,07096269,,Keptron,VGD 2000-1,
,UPS,18012260360520,,Arrow,Arrow 600VA,
Mevelloor,Barcode Scanner,PBYMLB002684,,TVS,BS-C101 Star,
,Battery,,,Exide,solar blitz,
,CPU,UXVQNSI244J0260697,,Acer,Veriton M200-B350,
,DMP,JNWY361773,,Epson,LX-300+II,
,DMP,VAS5JD005270,,TVS,MSP270 Classic Plus,
,Flatbed Scanner,CN37TA10B1,,HP,Scanjet 200,
,Laser Printer,VNF4H06843,,HP,Laserjet P1106,
,Monitor,MMLY0SS0118500F5F18525,,Acer,V196HQL,
,Passbook Printer,X7ZT008028,,Epson,PLQ-35,
,UPS,10040178,,Hykon,AEM1000,
Monipally,Barcode Scanner,NBKMLB002402,,TVS,BS-C101 Star,
,Barcode Scanner,RBQMLB004580,,TVS,BS-C101 Star,
,Barcode Scanner,UBUML001293,,TVS,BS-C101 Star,
,Battery,,,Powersafe,,
,CPU,INA604XGRM,,HP,406 G1 MT Business PC,
,CPU,UXB1JSIO91I0436685,,Acer,Veriton M200-H110,
,CPU,1N130302Y2,,HP,HP 285 Pro G8 Microtower,
,DMP,Q7DY156275,,Epson,LX-310,
,Fingerprint Scanner,C8R1CT00672,,Greenbit,Dactyscan84C,
,Inkjet Printer,CN7CH5G0W5,,HP,Deskjet GT 5811,
,Iris Scanner,BA1712A023943,,CMITech,BMT-20,
,Laser Printer,VNF4324364,,HP,LASERJET P1007,
,Monitor,MMTAMSS002750030F53E00,,Acer,V196HQL,
,Monitor,6CM5521QYZ,,HP,V 192,
,Monitor,MMTAMSS002750030FF3E00,,Acer,V196HQL,
,Monitor,CNK2500TPH,,HP,V22v G5 FHD,
,Passbook Printer,QAL6MT016381,,TVS,Speed 40 Plus,
,UPS,B13M18A00080,,BPE,UPS1000V,
,UPS,75000704,,Keptron,420/20EXT1,
Muttuchira,Barcode Scanner,OALMLB002492,,TVS,BS-C101 Star,
,Barcode Scanner,OADMLB000735,,TVS,BS-C101 Star,
,Battery,,,Exide,6EL 40+,
,CPU,INA604XH2W,,HP,406 G1 MT Business PC,
,CPU,UXB1JSIO91I0436519,,Acer,Veriton M200-H110,
,CPU,UXVTUSI333M2088963,,Acer,Veriton M200-P500,
,DMP,Q7EY147905,,Epson,LX-310,
,Fingerprint Scanner,C8R1CT00837,,Greenbit,Dactyscan84C,
,Inkjet Printer,CN7CH5G14Q,,HP,Deskjet GT 5811,
,Iris Scanner,BA1712A023949,,CMITech,BMT-20,
,Laser Printer,0AN2B8GHAA00RYD,,Samsung,Xpress M2830DW,
,Laser printer,VNFNX12704,,HP,Laserjet P 1007,
,Monitor,6CM5521QS6,,HP,V192,
,Monitor,MMLY0SS0047520B8B38507,,Acer,V196HQL,
,Monitor,MMTAMSS0027500313D3E00,,Acer,V196HQL,
,Monitor,MMLY7SS02822406B00859M,,Acer,V226HQL,
,Passbook Printer,QAL6MT016238,,TVS,Speed 40 Plus,
,UPS,B13M18A00534,,BPE,UPS1000V,
,UPS,,,Keptron,,
Newsprint Nagar,Barcode Scanner,NALMLB001442,,TVS,BS-C101 Star,
,Battery,,,Exide,POWER SAFE,
,CPU,UXVPNSI645I4809459,,Acer,Veriton-IC6834K,
,DMP,Q7EY267867,,EPSON ,EPSON LX 310,
,Laser printer,VNF4H06861,,HP,Laserjet P1106,
,Monitor,MMT6MSS001744026693E00,,Acer,EB192Q,
,Passbook Printer,QAL6MT016953,,TVS,Speed 40 Plus,
,UPS,07096253,,Keptron,VGD 2000-1,
Njizhoor,Barcode Scanner,PADMLB002503,,TVS,BS-C101 Star,
,Barcode Scanner,RBQMLB004572,,TVS,BS-C101 Star,
,Battery,,,Powersafe,,
,CPU,INA604XH72,,HP,406 G1 MT Business PC,
,CPU,UXB1JSIO91I0436523,,Acer,Veriton M200-H110,
,CPU,1N1303033P,,HP,HP285 Pro G8 Microtower PC,
,DMP,Q7EY247324,,Epson,LX-310,
,Fingerprint Scanner,C8R1BT16060,,Greenbit,Dactyscan84C,
,Inkjet Printer,CN7CH5G1BN,,HP,Deskjet GT 5811,
,Iris Scanner,BA1712A023948,,CMITech,BMT-20,
,Laser printer,VNFNP07751,,HP,Laserjet P1007,
,Laser printer,0AN2B8GHAB02TLW,,Samsung,Xpress M2830DW,
,Monitor,MMTAMSS0027500389F3E00,,Acer,V196HQL,
,Monitor,6CM5521PCX,,HP,V192,
,Monitor,MMLY0SS0047520BEB08507,,Acer,V196HQL,
,Monitor,CNK24700FC,,HP,V22v G5 FHD,
,Passbook Printer,8123535,,Olivetti,PR2 plus,
,UPS,B13M18A00047,,BPE,UPS1000V,
,UPS,86666,,Keptron,,
Ozhavoor,Barcode scanner,PADMLB002499,,TVS,BS-C101 Star,
,Barcode Scanner,OALMLB002405,,TVS,BS-C101 Star,
,Barcode Scanner,UBUMLB001297,,TVS,BS-C101 Star,
,Battery,,,Micro,MFT-N100,
,CPU,UXB1JSIO91I0436498,,Acer,Veriton M200-H110,
,CPU,UXVQNSI244J0260744,,Acer,Veriton M200-B350,
,CPU,UXVTUSI333M2089124,,Acer,Veriton M200-P500,
,DMP,Q7DY061543,,Epson,LX-310,
,Fingerprint Scanner,C8R1BT16348,,Greenbit,Dactyscan84C,
,Inkjet Printer,CN7CH5G1BH,,HP,Deskjet GT 5811,
,Iris Scanner,BA1712A023944,,CMITech,BMT-20,
,Laser Printer,0AN2B8GHAA00WDH,,Samsung,Xpress M2830DW,
,Laser Printer,NTNA610204,,Canon,F166400,
,Monitor,MMLY0SS0047520BF4B8507,,Acer,V196HQL,
,Monitor,MMT3FSS001750011763B00,,Acer,E1900HQ,
,Monitor,MMLY0SS0118500F5F08525,,Acer,V196HQL,
,Monitor,MMLY7SS02822406AFB859M,,Acer,V226HQL,
,Passbook Printer,QAL6MT016239,,TVS,Speed 40 Plus,
,UPS,B13M18A00060,,BPE,UPS1000V,
,UPS,1109647,,Keptron,DC 36V,
Padinjarekkara,Barcode Scanner,NALMLB001443,,TVS,BS-C101 Star,
,Battery,,,Powersafe,,
,CPU,UXVQNSI244J0260719,,Acer,Veriton M200-B350,
,DMP,Q7DY156256,,Epson,LX-310,
,Laser Printer,VNF8P13528,,HP,Laserjet P1007,
,Monitor,MMLY0SS0118500F60E8525,,Acer,V196HQL,
,Passbook Printer,QAL6MT016294,,TVS,Speed 40 Plus,
,UPS,231208254 S,,Hykon,HT 1101L,
Peruva,Barcode Scanner,PADMLB002497,,TVS,BS-C101 Star,
,Barcode Scanner,NBKMLB000580,,TVS,BS-C101 Star,
,Barcode Scanner,UAAMLB000252,,TVS,BS-C101 Star,
,Battery,,,HYKON,HyTT series,
,CPU,UXB1JSIO91I0328836,,Acer,Veriton M200-H110,
,CPU,UXVQNSI285J1282803,,Acer,Veriton M200-B350,
,CPU,21H12L2023B 50689,,HLBS,CM 44,
,DMP,Q7EY144628,,Epson,LX-310,
,Fingerprint Scanner,C8R1CT00673,,Greenbit,Dactyscan84C,
,Inkjet Printer,CN7CH5G11D,,HP,Deskjet GT 5811,
,Iris Scanner,BA1712A023945,,CMITech,BMT-20,
,Laser printer,CNCHB78450,,HP,Laserjet 1020 Plus,
,Monitor,MMLY0SS0047520BF478507,,Acer,V196HQL,
,Monitor,MMLY0SS0047520BB6D8507,,Acer,V196HQL,
,Monitor,MMLY0SS01190808FE58525,,Acer,V196HQL,
,Monitor,9I003234202134,,HLBS,H-22P1IPS,
,Passbook Printer,8123894,,Olivetti,PR2 Plus,
,Passbook Printer,X7ZT036401,,Epson,PLQ-35,
,UPS,B13M18A00079,,BPE,UPS1000V,
,UPS,01192955,,Keptron,KE440-1120,
RP BAZAR,Barcode Scanner,PADMLB002518,,TVS,BS-C101 Star,
,Barcode Scanner,QAUMLB000056,,TVS,BS-C101 Star,
,Barcode Scanner,UAEMLB001417,,TVS,BS-C101 Star,
,Battery,,,Exide,POWER SAFE,
,CPU,UXB1JSIO91I0328776,,Acer,Veriton M200-H110,
,CPU,UXVQNSI285J1282957,,Acer,VERITON M200-B350,
,CPU,UXVQNSI959L3876844,,Acer,Veriton M200-B560,
,CPU,UD305SI00U408049D80700,,Acer,Veriton M200-P500,
,Dotmatrix Printer,Q7DY061998,,EPSON,LX 310,
,Fingerprint Scanner,C8R1BT15953,,Greenbit,Dactyscan84C,
,Inkjet Printer,CN78J5G0H8,,HP,Deskjet GT 5811,
,Iris Scanner,BA1801A026148,,CMITech,BMT-20,
,Laser Printer,CNCHB75788,,HP,Laserjet  P1020,
,Monitor,MMLY0SS0118500F5FE8525,,,,
,Monitor,MMTAMSS002750030FE3E00,,Acer,V196HQL,
,Monitor,MMTAMSS002750032E63E00,,Acer,V196HQL,
,Monitor,MMLXKSS00911618E684260,,ACER,V206HQL,
,Monitor,UR14701017408F88119F00,,Acer,EV226HQL,
,Passbook Printer,8123964,,Olivetti,PR2 Plus,
,UPS,B13M18A00066,,BPE,UPS1000V,
,UPS,09191813,,Keptron,KE440-3602,
T V Puram,Barcode Scanner,NBGMLB001463,,TVS,BS-C101 Star,
,Battery,,,Exide,POWER SAFE,
,CPU,UXVQNSI244J0260680,,Acer,Veriton M200-B350,
,DMP,QAG4BD135307,,TVS,MSP 250 STAR,
,Laser printer,CNCGY12932,,HP,HP Laserjet 1020 Plus,
,Monitor,MMLY0SS0118500F5B68525,,Acer,V196HQL,
,Passbook Printer,X7ZT007625,,Epson,PLQ-35,
,UPS,240108526,,Hykon,HT 1101L,
Thalayolaparambu,Barcode scanner,PADMLB002505,,TVS,BS-C101 Star,
,Barcode Scanner,NBGMLB001468,,TVS,BS-C101 Star,
,Barcode Scanner,NATMLB001071,,TVS,BS-C101 Star,
,Barcode Scanner,TAFMLB000724,,TVS,BS-C101 Star,
,Barcode Scanner,Q7DY098407,,Epson,LX-310,
,Barcode Scanner,UAEMLB001431,,TVS,BS-C101 Star,
,Battery,,,Exide,power safe,
,CPU,INA532P5T0,,HP,406 G1 MT Business PC,
,CPU,UXB1JSIO91I0328884,,Acer,Veriton M200-H110,
,CPU,UXVQNSI244J0260726,,Acer,Veriton M200-B350,
,CPU,UXB1JSIO91I0436483,,Acer,Veriton M200-H110,
,CPU,1N130303BW,,HP,HP 285 Pro G8 Microtower,
,Fingerprint Scanner,C8R1BT15912,,Greenbit,Dactyscan84C,
,Inkjet Printer,CN7CH5G133,,HP,Deskjet GT 5811,
,Iris Scanner,BA1712A023946,,CMITech,BMT-20,
,Laser printer,0AN2B8GHAA0276E,,Samsung,Xpress M2830DW,
,Laser Printer,CNCH654791,,HP,Laserjet 1020 Plus,
,Monitor,6CM52115HC,,HP,V192,
,Monitor,MMTAMSS002750038B53E00,,Acer,V196HQL,
,Monitor,MMTAMSS002750038A43E00,,Acer,V196HQL,
,Monitor,MMLY0SS0118500F5E18525,,Acer,V196HQL,
,Monitor,CNK24700GB,,HP,V22v G5 FHD,
,Monitor,MMLY0SS0047520BBF48507,,Acer,V196HQL,
,Passbook Printer,1202633,,Olivetti,PR2 Plus,
,Passbook Printer,QAL6MT016402,,TVS,Speed 40 Plus,
,UPS,18012260360047,,Arrow,Arrow 600VA,
,UPS,211105937 SA,,HYKON,HT1103LT,
Udayanapuram,Barcode Scanner,PADMLB002511,,TVS,BS-C101 Star,
,Battery,,,Exide,POWER SAFE,
,CPU,UXVQNSI244J0260706,,Acer,Veriton M200-B350,
,DMP,Q7DY102448,,EPson,LX-310,
,Laser Printer,VNF4H05801,,HP,Laserjet P1106,
,Monitor,MMLY0SS0118500F5E78525,,Acer,V196HQL,
,Passbook Printer,8109702,,Olivetti,PR2 Plus,
,UPS,2010-03-P151,,Techser,,
Vaikom HO,Barcode Scanner,OADMLB000726,,TVS,BS-C101 Star,
,Barcode Scanner,OAZMLB000012,,TVS,BS-C101 Star,
,Barcode Scanner,TBZMLB001482,,TVS,BS-C101 Star,
,Barcode Scanner,RAOMLB003177,,TVS,BS-C101 Star,
,Battery,,,amaron,,
,CPU,UXB1JSII01I0434102,,Acer,Veriton-IC6542,
,CPU,UXB1JSII11I1007806,,Acer,Veriton-IC6550,
,CPU,08CAMM07700194,,Wipro,SuperGenius WSG32325V,
,CPU,UXB1JSII11I0435222,,Acer,Veriton-IC6550,
,CPU,UXVQNSI244J0260722,,Acer,Veriton M200-B350,
,CPU,UXVD9SI140D4405946,,Acer,Veriton M200-H61,
,CPU,UXVQNSI244J0260742,,Acer,Veriton M200-B350,
,CPU,5103A1419308,,HCL,Infinity Pro,
,CPU,CNV7040CZV,,HP,Slimline 270-p030in,
,CPU,INA113XHFX,,HP,Pro 3090 MT,
,CPU,UXB1JSII11I0905726,,Acer,Veriton-IC6550,
,CPU,INA113XHJD,,HP,Pro 3090 MT,
,CPU,INA604XH96,,HP,HP 406 G1 MT Bussiness PC,
,CPU,INA604XH15,,HP,406 G1 MT Business PC,
,CPU,INA0450391,,HP,Pro 3090 MT,
,CPU,UD305SI00U40804A3B0700,,Acer,Veriton M200-P500,
,CPU,UD305SI00U40804A150700,,Acer,Veriton M200-P500,
,CPU,UD305SI00U40804A400700,,Acer,Veriton M200-P500,
,CPU,UD305SI00U40804A100700,,Acer,Veriton M200-P500,
,CPU,UD305SI00U408049FC0700,,Acer,Veriton M200-P500,
,CPU,21H12L2023B 50680,,HLBS,CM 44,
,CPU,UD305SI00U408049D40700,,Acer,Veriton M200-P500,
,CTS Scanner,70413391089,,Digital Check,Tellerscan 240,
,DMP,Q7DY116671,,Epson,LX-310,
,Fingerprint Scanner,C8R1CT00680,,Greenbit,Dactyscan84C,
,Inkjet Printer,CN7CH5G136,,HP,Deskjet GT 5811,
,Inkjet Printer,X5EP303698,,Epson,L3150,
,Iris Scanner,BA1801A026004,,CMITech,BMT-20,
,Laser Printer,VNC3P04997,,HP,Laserjet P1606dn,
,Laser printer,VNF6800112,,HP,Laserjet P1108,
,Laser printer,VNC4L18555,,HP,Laserjet Pro M202dw,
,Laser printer,0AN2B8GHAA021TP,,Samsung,Xpress M2830DW,
,Laser printer,0AN2B8GHAA014KA,,Samsung,Xpress M2830DW,
,Laser printer,CNCHD27071,,HP,Laserjet 1020 Plus,
,Laser printer,NAQA592275,,Canon,L11121E,
,Laser Printer,NAQA813359,,Canon,L11121E,
,Laser printer,VNM1C00003,,HP,Laserjet Pro M208dw,
,Monitor,443101501162,,HCL,TFT185W80PSA+,
,Monitor,MMT3FSS0017500010A3B00,,Acer,E1900HQ,
,Monitor,MMLY0SS0118500F5D88525,,Acer,V196HQL,
,Monitor,MMLTJSS0033360951F8501,,Acer,P166HQL,
,Monitor,MMLY0SS0118500F5D08525,,Acer,V196HQL,
,Monitor,MMLY0SS00482900EEF8507,,Acer,V196HQL,
,Monitor,MMLY0SS00482900EEB8507,,Acer,V196HQL,
,Monitor,6CM7060CPP,,HP,HSTND-9191-L,
,Monitor,MMTAMSS002750038BF3E00,,Acer,V196HQL,
,MONITOR,AOCKRV2F4950815,,AOC,E1670Swu,
,Monitor,MMT6MSI00114601CA83E00,,Acer,EB192Q,
,Monitor,MMLY0SS01143402CED8520,,Acer,V196HQL,
,Monitor,UR14701017408F883E9F00,,Acer,EV226HQL,
,Monitor,UR14701017407F7A019F00,,Acer,EV226HQL,
,Monitor,UR14701017408F87B29F00,,Acer,EV226HQL,
,Monitor,UR14701017407F7B019F00,,Acer,EV226HQL,
,Monitor,UR14701017408F842E9F00,,Acer,EV226HQL,
,Monitor,RBW01IS09602,,ZEBSTER,Z-E19HD LED,
,Monitor,9I003234202096,,HLBS,H-22P1IPS,
,Monitor,UR14701017408F88AA9F00,,Acer,EV226HQL,
,Passbook Printer,QAL6MT016298,,TVS,Speed 40 Plus,
,Passbook Printer,QAL6MT016969,,TVS,Speed 40 Plus,
,Passbook Printer,X7ZT004053,,Epson,PLQ-35,
,Portable A4 Scanner,1800514000053,,iBall,ClickScan A404,
,UPS,B13M18A00389,,BPE,UPS1000V,
,UPS,VC2007196957,,V Guard,SESTO 600,
,UPS,240209009F,,HYKON,BIZ 600,
,UPS,03212189,,Keptron,KE-440/5602,
Vaikom Sub Dn,CPU,UXVQNSI244J0260734,,Acer,Veriton M200-B350,
,Inkjet Printer,X6NY171907,,Epson,L3110,
,Laser Printer,E73793L3N466759,,Brother,HL-L2321D,
,Monitor,MMLY0SS0118500F5F88525,,Acer,V196HQL,
,UPS,VC 1909 177704,,V Guard,SESTO 600,
VAYALA,Barcode Scanner,PADMLB002509,,TVS,BS-C101 Star,
,Battery,,,HYKON,HyBT series,
,CPU,UXQNSI244J0260739,,Acer,VERITON M200-B350,
,Dotmatrix Printer,JNWY360520,,Epson,LX-300+II,
,Laser printer,VNC3D07411,,HP,Laserjet P1606dn,
,Laser Printer,E73793H2N977614,,Brother,HL-L2321D,
,Monitor,MMLY0SS0118500F6238525,,Acer,V196HQL,
,PB PRINTER,8123565,,OLIVETTI,PR2 Plus,
,UPS,10040210,,HYKON,AEM1000,
