Office,Item,Serial No.,Date of Purchase,Make,Model,Remarks
,LASER PRINTER,VNM1C05592,2021,HP,HP,
,DOT MATRIX PRINTER,JNWY363824,2016,Epson,EPSON LX-300+II,
,UPS,,2011,Hykon,100430221,
,PASSBOOK PRINTER,8109442,2016,Olivetti,OLIVETTY PR2,
KUDAVECHOOR,CPU,INA604XGYS,2016,HP,HP 406 G1,
,MONITOR,85006290185,2019,HP,HP V196HQL,
,LASER PRINTER,VNF6W04946,2016,HP,HP LASERJET,
,DOT MATRIX PRINTER,Q7DY079400,2021,Epson,EPSON  LX-310,
,UPS,XXXXXXXXXX,2011,Hykon,HYKON,
,PASSBOOK PRINTER,X7ZT049171,2022,Epson,EPSON PLQ35,
KUMARAKOM,CPU,1N130303RS,2022,HP,HP 285 PRO ,
,MONITOR,CNK24700F5,2022,HP,HPV22V G5,
,LASER PRINTER,VNF6W05083,2015,HP,HP LASERJET P1106,
,DOT MATRIX PRINTER,VBY7LA001500,2022,TVS,TVS MSP 250 STAR,
,UPS,S0040051 72V,2013,Techser,TECHSER,
,CPU,INA604XGYP,2016,HP,HP 406 G1,
,MONITOR,6CM6050PD2,2016,HP,HP V192,
,LASER PRINTER,NTNA513229,2020,Canon,CANON ,
,PASSBOOK PRINTER,QAL6MT016324,2017,TVS,TVS SPEED 40,
,CPU,UXB1JSIO91I0328901,,Acer,ACER VERITON,
,MONITOR,75204798485,,Acer,ACER V196HQL,
,INK JET PRINTER,CN7CH5G15P,,HP,HP,
PAKKIL,CPU,UXB1JSII11I0905700,2017,Acer,ACER VERITON,
,MONITOR,MMT3PSS0017500140S3800,2017,Acer,ACER E1900HQ,
,LASER PRINTER,VNF6W04956,2015,HP,HP LASER JET,
,DOT MATRIX PRINTER,JNWY360569,2012,Epson,EPSON LX300+II,
,PASSBOOK PRINTER,QAL6MT016244,2019,TVS,TVS SPEED 40 PLUS,
,UPS,UL-D6K22-A-295,2022,Uniline,UNLINE SMARTLINE,
NATTAKOM,CPU,UXVQNSI285J1282935,2018,Acer,ACER VERITON,
,MONITOR,85006291085,2018,Acer,ACER V196HQL,
,LASER PRINTER,E73793J2N124238,2022,Brother,BROTHER HL-L2321D,
,DOT MATRIX PRINTER,Q7DY156732,2020,Epson,EPSON LX-310,
,PASSBOOK PRINTER,X7ZT008052,2020,Epson,EPSON PLQ-35,
,UPS,230404916A,2023,Hykon,HYKON HT1101L,
THIRUNAKKARA,CPU,UXVQNSI244J0260724,2018,Acer,ACER VERITON,
,MONITOR,MMLY0SS01190808FB78525,2019,Acer,ACER V196HQL,
,LASER PRINTER,0AN2B8GHAA00XFV,2017,Samsung,SAMSUNG EXPRESS,
,DOT MATRIX PRINTER,UAE4BD173628,2021,Epson,EPSON,
,PASSBOOK PRINTER,QAL6MT016971,2018,TVS,TVS SPEED ,
,UPS,10040132,2012,Hykon,HYKON 1 KV,
KTM WEST,CPU,IN13030387,2022,HP,HP 285 G8,
,MONITOR,CNK2270LJZ,2022,HP,HP V22V,
,LASER PRINTER,0AN2B8GHAA00S4H,2017,Samsung,SAMSUNG EXPRESS,
,CPU,21H12L2023B50690,2024,HLBS,HLBS,
MEENADAM,CPU,UXVQNSI285J1282826,2018,Acer,ACER VERITON,
KOTTAYAM HO,CPU,CNV7040CQW,2017,HP,HP,
,MONITOR,6CM7060B2N,2017,HP,HP 20KD,
,INK JET PRINTER,X5DZ394206,2020,Epson,EPSON L3110,
,CPU,INA604XHB1,2018,HP,HP,
,MONITOR,CNC9511JX6,2018,HP,COMPAQ,
,LASER PRINTER,VNFPB00922,2015,HP,HP LASERJET P1007,
,CPU,21H12L2023B50687,2024,HLBS,HLBS,
,MONITOR,9I003234202144,2024,HLBS,HLBS,
,CPU,INA113XHLC,2016,HP,HP,
,MONITOR,50700307342,2015,Acer,ACER,
,DOTMATRIX PRINTER,Q7DY062354,2018,Epson,EPSON LX-310,
